Timestamp, X, Y, Z
1744155834603,0.000,9.776,0.812
1744155834622,0.000,9.776,0.812
1744155834644,0.000,9.776,0.812
1744155834663,0.000,9.776,0.812
1744155834682,0.000,9.776,0.812
1744155834703,0.000,9.776,0.812
1744155834723,0.000,9.776,0.812
1744155834742,0.000,9.776,0.812
1744155834762,0.000,9.776,0.812
1744155834782,0.000,9.776,0.812
1744155834802,0.000,9.776,0.812
1744155834822,0.000,9.776,0.812
1744155834843,0.000,9.776,0.812
1744155834861,0.000,9.776,0.812
1744155834882,0.000,9.776,0.812
1744155834902,0.000,9.776,0.812
1744155834922,0.000,9.776,0.812
1744155834944,0.000,9.776,0.812
1744155834962,0.000,9.776,0.812
1744155834983,0.000,9.776,0.812
1744155835003,0.000,9.776,0.812
1744155835023,0.000,9.776,0.812
1744155835042,0.000,9.776,0.812
1744155835063,0.000,9.776,0.812
1744155835082,0.000,9.776,0.812
1744155835102,0.000,9.776,0.812
1744155835122,0.000,9.776,0.812
1744155835143,0.000,9.776,0.812
1744155835162,0.000,9.776,0.812
1744155835182,0.000,9.776,0.812
1744155835202,0.000,9.776,0.812
1744155835222,0.000,9.776,0.812
1744155835241,0.000,9.776,0.812
1744155835263,0.000,9.776,0.812
1744155835282,0.000,9.776,0.812
1744155835303,0.000,9.776,0.812
1744155835322,0.000,9.776,0.812
1744155835342,0.000,9.776,0.812
1744155835363,0.000,9.776,0.812
1744155835382,0.000,9.776,0.812
1744155835402,0.000,9.776,0.812
1744155835422,0.000,9.776,0.812
1744155835442,0.000,9.776,0.812
1744155835462,0.000,9.776,0.812
1744155835482,0.000,9.776,0.812
1744155835502,0.000,9.776,0.812
1744155835523,0.000,9.776,0.812
1744155835542,0.000,9.776,0.812
1744155835562,0.000,9.776,0.812
1744155835582,0.000,9.776,0.812
1744155835602,0.000,9.776,0.812
1744155835623,0.000,9.776,0.812
1744155835642,0.000,9.776,0.812
1744155835662,0.000,9.776,0.812
1744155835682,0.000,9.776,0.812
1744155835702,0.000,9.776,0.812
1744155835722,0.000,9.776,0.812
1744155835742,0.000,9.776,0.812
1744155835762,0.000,9.776,0.812
1744155835782,0.000,9.776,0.812
1744155835802,0.000,9.776,0.812
1744155835822,0.000,9.776,0.812
1744155835842,0.000,9.776,0.812
1744155835862,0.000,9.776,0.812
1744155835882,0.000,9.776,0.812
1744155835902,0.000,9.776,0.812
1744155835922,0.000,9.776,0.812
1744155835942,0.000,9.776,0.812
1744155835962,0.000,9.776,0.812
1744155835982,0.000,9.776,0.812
1744155836003,0.000,9.776,0.812
1744155836022,0.000,9.776,0.812
1744155836042,0.000,9.776,0.812
1744155836062,0.000,9.776,0.812
1744155836082,0.000,9.776,0.812
1744155836103,0.000,9.776,0.812
1744155836122,0.000,9.776,0.812
1744155836142,0.000,9.776,0.812
1744155836162,0.000,9.776,0.812
1744155836182,0.000,9.776,0.812
1744155836203,0.000,9.776,0.812
1744155836222,0.000,9.776,0.812
1744155836243,0.000,9.776,0.812
1744155836262,0.000,9.776,0.812
1744155836283,0.000,9.776,0.812
1744155836302,0.000,9.776,0.812
1744155836322,0.000,9.776,0.812
1744155836342,0.000,9.776,0.812
1744155836362,0.000,9.776,0.812
1744155836383,0.000,9.776,0.812
1744155836402,0.000,9.776,0.812
1744155836422,0.000,9.776,0.812
1744155836442,0.000,9.776,0.812
1744155836462,0.000,9.776,0.812
1744155836482,0.000,9.776,0.812
1744155836502,0.000,9.776,0.812
1744155836522,0.000,9.776,0.812
1744155836543,0.000,9.776,0.812
1744155836562,0.000,9.776,0.812
1744155836582,0.000,9.776,0.812
1744155836602,0.000,9.776,0.812
1744155836622,0.000,9.776,0.812
1744155836642,0.000,9.776,0.812
1744155836662,0.000,9.776,0.812
1744155836682,0.000,9.776,0.812
1744155836702,0.000,9.776,0.812
1744155836722,0.000,9.776,0.812
1744155836742,0.000,9.776,0.812
1744155836762,0.000,9.776,0.812
1744155836782,0.000,9.776,0.812
1744155836802,0.000,9.776,0.812
1744155836822,0.000,9.776,0.812
1744155836842,0.000,9.776,0.812
1744155836862,0.000,9.776,0.812
1744155836882,0.000,9.776,0.812
1744155836902,0.000,9.776,0.812
1744155836922,0.000,9.776,0.812
1744155836942,0.000,9.776,0.812
1744155836962,0.000,9.776,0.812
1744155836982,0.000,9.776,0.812
1744155837002,0.000,9.776,0.812
1744155837022,0.000,9.776,0.812
1744155837042,0.000,9.776,0.812
1744155837062,0.000,9.776,0.812
1744155837082,0.000,9.776,0.812
1744155837102,0.000,9.776,0.812
1744155837122,0.000,9.776,0.812
1744155837143,0.000,9.776,0.812
