Timestamp, X, Y, Z
1744155834623,0.000,0.003,0.000
1744155834644,-0.000,0.003,0.000
1744155834663,-0.000,0.003,0.000
1744155834683,-0.000,0.003,0.000
1744155834703,-0.000,0.003,0.001
1744155834723,-0.000,0.003,0.001
1744155834742,-0.001,0.003,0.001
1744155834762,-0.001,0.003,0.001
1744155834782,-0.001,0.003,0.001
1744155834802,-0.001,0.003,0.001
1744155834822,-0.001,0.003,0.001
1744155834843,-0.001,0.003,0.001
1744155834862,-0.001,0.003,0.001
1744155834882,-0.001,0.003,0.001
1744155834902,-0.001,0.003,0.001
1744155834922,-0.001,0.003,0.001
1744155834944,-0.001,0.003,0.001
1744155834962,-0.001,0.003,0.001
1744155834983,-0.001,0.003,0.001
1744155835003,-0.001,0.003,0.002
1744155835023,-0.001,0.003,0.002
1744155835043,-0.001,0.003,0.002
1744155835063,-0.001,0.003,0.002
1744155835083,-0.001,0.003,0.002
1744155835102,-0.002,0.003,0.002
1744155835122,-0.002,0.003,0.002
1744155835143,-0.002,0.003,0.002
1744155835162,-0.002,0.003,0.002
1744155835183,-0.002,0.003,0.002
1744155835202,-0.002,0.003,0.003
1744155835222,-0.002,0.003,0.003
1744155835242,-0.002,0.003,0.003
1744155835263,-0.002,0.003,0.003
1744155835282,-0.002,0.003,0.003
1744155835303,-0.002,0.003,0.003
1744155835322,-0.002,0.003,0.003
1744155835343,-0.002,0.003,0.003
1744155835363,-0.002,0.003,0.003
1744155835382,-0.002,0.003,0.003
1744155835402,-0.002,0.003,0.003
1744155835422,-0.002,0.003,0.003
1744155835442,-0.003,0.003,0.003
1744155835462,-0.003,0.003,0.003
1744155835482,-0.003,0.003,0.003
1744155835502,-0.003,0.003,0.003
1744155835523,-0.003,0.003,0.003
1744155835542,-0.003,0.003,0.003
1744155835562,-0.003,0.003,0.003
1744155835582,-0.003,0.003,0.003
1744155835602,-0.003,0.003,0.003
1744155835623,-0.003,0.003,0.003
1744155835642,-0.003,0.003,0.003
1744155835662,-0.003,0.003,0.003
1744155835682,-0.003,0.003,0.003
1744155835702,-0.003,0.003,0.003
1744155835722,-0.003,0.003,0.003
1744155835742,-0.003,0.003,0.003
1744155835762,-0.003,0.003,0.003
1744155835782,-0.003,0.003,0.003
1744155835802,-0.003,0.003,0.003
1744155835822,-0.003,0.003,0.003
1744155835842,-0.003,0.003,0.004
1744155835862,-0.003,0.003,0.004
1744155835882,-0.003,0.003,0.004
1744155835902,-0.003,0.003,0.004
1744155835922,-0.003,0.003,0.003
1744155835943,-0.003,0.003,0.003
1744155835963,-0.003,0.003,0.003
1744155835982,-0.003,0.003,0.003
1744155836003,-0.003,0.003,0.003
1744155836022,-0.003,0.003,0.003
1744155836042,-0.003,0.003,0.004
1744155836062,-0.003,0.003,0.004
1744155836082,-0.003,0.003,0.003
1744155836103,-0.003,0.003,0.004
1744155836122,-0.003,0.003,0.004
1744155836142,-0.003,0.003,0.004
1744155836162,-0.003,0.003,0.004
1744155836182,-0.003,0.003,0.004
1744155836203,-0.003,0.003,0.004
1744155836222,-0.003,0.003,0.004
1744155836243,-0.003,0.003,0.004
1744155836262,-0.003,0.003,0.004
1744155836283,-0.003,0.003,0.004
1744155836302,-0.003,0.003,0.004
1744155836322,-0.003,0.003,0.004
1744155836343,-0.003,0.003,0.004
1744155836362,-0.003,0.003,0.003
1744155836383,-0.003,0.003,0.003
1744155836403,-0.003,0.003,0.003
1744155836422,-0.003,0.003,0.003
1744155836442,-0.003,0.003,0.003
1744155836462,-0.003,0.003,0.003
1744155836482,-0.003,0.003,0.003
1744155836502,-0.003,0.003,0.003
1744155836522,-0.003,0.003,0.003
1744155836543,-0.003,0.003,0.003
1744155836562,-0.003,0.003,0.003
1744155836582,-0.003,0.003,0.003
1744155836602,-0.003,0.003,0.003
1744155836622,-0.003,0.003,0.003
1744155836642,-0.003,0.003,0.003
1744155836662,-0.003,0.003,0.003
1744155836682,-0.003,0.003,0.003
1744155836702,-0.003,0.003,0.003
1744155836722,-0.003,0.003,0.003
1744155836742,-0.003,0.003,0.003
1744155836762,-0.003,0.003,0.003
1744155836782,-0.003,0.003,0.003
1744155836802,-0.003,0.003,0.003
1744155836823,-0.003,0.003,0.003
1744155836842,-0.003,0.003,0.003
1744155836862,-0.003,0.003,0.003
1744155836882,-0.003,0.003,0.004
1744155836902,-0.003,0.003,0.004
1744155836922,-0.003,0.003,0.004
1744155836942,-0.003,0.003,0.004
1744155836962,-0.003,0.003,0.003
1744155836982,-0.003,0.003,0.003
1744155837002,-0.003,0.003,0.004
1744155837022,-0.003,0.003,0.003
1744155837042,-0.003,0.003,0.003
1744155837062,-0.003,0.003,0.003
1744155837082,-0.003,0.003,0.003
1744155837103,-0.003,0.003,0.003
1744155837122,-0.003,0.003,0.003
1744155837143,-0.003,0.003,0.003
